hotel_id,review_text_positive,review_text_negative,review_score,traveler_type
18,"""The overall facilities of the hotel are relatively clean and the stay is relatively comfortable""","""The hotel staff is not professional because I didn't get the money I paid and the drinks I bought were not paid for!!! I am very angry!!""",6,Single
18,"""The location and comfortable facility unfortunately the staff were poor. it was very hard to get call to Reception. They sometimes pick the the phone from the room. People work slow. I called for cutleries and it takes too long. I just went by myself""","""People are friendly. They speaks English. They are helpful but don’t have Enoch experience with international parties.""",5,Couple
18,"""Neat and clean hotel with a cute restaurant for morning breakfast""","""Room is small and difficult to accommodate 2 person (except bed. It was difficult to accommodate 2 big suitcase and to open them on the floor.""",7,Couple
18,"""Room was clean and nice, we got backside view of the hotel and not city view. Beds were quiet comfortable but 2 single beds. Staff are very nice and helpful. Breakfast was nice suggest they should write more specifically what is being served.""","""The room gets hot in the night and the aircons dont work properly in the room, we called the reception to check on our aircon but were told that they will be able to rectify the problem only the next day since there is no maintenance team working 24/7. """,7,Couple
18,"""Great location. Amazing elevator with a beautiful view on the city and mountains.""","""The room was not cleaned properly before our arrival. Rooms supposed to be somewhat soundproof, but I've heard all noise from the corridor and especially from the restaurant above my room, which prevented me from getting a good sleep, which I so desperately needed.""",3,Couple
168,"""A small, cozy hotel, opened a few months ago. Convenient location, pleasant staff, very small but cozy rooms.  A good choice of food for breakfast, part of the menu changes daily. Good brewed coffee""","""There was a slight smell of sewage from the bathroom in room 311.  I didn't like the stairs from the street to the reception -it's not very tidy to go up with a suitcase, although it looks cool.""",10,Single
168,"""Good location, nice room, quiet, good service especially from the boys at the reception""","""No breakfast""",10,Single
168,"""I liked everything! Nicely. Very clean and tidy. Very polite staff. A delicious breakfast, which was a surprise for us, because we chose the ""no breakfast"" option when booking, but in the end it did not affect the booking price in any way, for which we would like to thank you. ""","""It would be nice to install an elevator, as it will be difficult for the elderly or people with disabilities to climb/descend stairs, but this is more a recommendation than a complaint.""",10,Couple
168,"""A very nice new hotel, with excellent staff and service.""","""The issue of heating was very acute. In the first two nights it wasn't there when it was snowing outside the window... then at 2 a.m. it was still possible to launch it..""",7,Single
168,"""Brand new property. Stylish interior. I liked the restarant next door (other owner).""","""My double deluxe room had no wardrobe / closed, as advertised. No place to hide your clothes. Only hanges for jacket. I would call this a small studio for a single person, rather then double room.""",8,Single
168,"""The area was good. It’s close to many places.""","""The view was on the construction and next to the car wash, which was work till late. It was very nosy in the room the hood, I couldn’t sleep properly… """,6,Single
168,"""The hotel is completely new. Beds are comfortable and good shower.""","""The staff is unkind, whenever we asked something it seemed all of a big hassle for them.""",6,Single
168,"""Quite clean, good location.""","""Absolutely inedible breakfasts (haven’t even tried lunches or dinners) - probably the worst I’ve met.""",6,Single
10,"""Great location and facilities. We didn’t have breakfast so can’t comment on that, but the filtered water and ironing room and other facilities were excellent.""","""Nothing.""",10,Couple
10,"""Location is absolutely prime.""","""Bathroom was small and hot/cold water fluctuates momentarily - which is a minor annoyance at most.""",10,Couple
10,"""We found the location great and the bedding very comfortable and in fact we stayed on two occasions. We had a superior room which was spacious but there are no drawers in which to put your belongings and only one chair.""","""Their policy of trying to charge another night’s accommodation to check in a bit early when we had been travelling for 27 hours from New Zealand is way too strict and we’ve never encountered this in other hotels. """,8,Couple
10,"""The hotel staff were very friendly and helpful from the start. The room was very comfortable, with a cozy bed and everything clean. I also liked the hotel's location because it was easy to go to many interesting places in the city. ""","""The room lacked amenities like a small kitchenette, which would have made meal preparation easier. Additionally, the wardrobe was too small for our needs, and the absence of a bidet sprayer was noticeable. """,7,Family
10,"""The location of the hotel is perfect and the staff at the reception are trying to help. the cleanness of the room is very good, fast service and fast reply of your request,""","""The room is very small, I made a reservation for 2 and the room is prepared for 1 guest. To drink water, you have to go outside your room to the water dispenser and take water, the iron is in different floor, there is no chairs for two, only one chair and hanging chair which is not suitable to sit on. """,5,Couple
10,"""everyone was very professional.""","""the a/c was switched off and when i inquired as to the reason, they told me because summer was over. The walkways from the elevator to the room was very stuffy as there was no windows and the a/c was off.""",6,Single
10,"""Bed was really good and large smart TV + small, quiet fridge. Breakfast was good one as well.""","""Small size of room even though it was premium one. No cabinet just few shelves, bathroom cleaning wasn't good.""",6,Single
10,"""The bed, and the location is perfect for me, and it is quite clean""","""The smell in the bathroom was not nice, there is no food available after 11pm, there is no mini bar or snacks available, the room are quite small actually , you can't even make coffee in your room. """,4,Single
2,"""Being a business trip, the breakfast is a superb spread and the live instrumental music is a great start to the day!""","""The carpets and upholstery looks jaded and old fashioned in the rooms - could do with a renovation.""",9,Business-taveler
2,"""For a business traveler it is a perfect option. Location, value for money, pristinely clean and super friendly staff. What else to want?""","""Nothing, all was perfect. Will gladly stay again.""",10,Business-taveler
2,"""The location was great near to lots of location just on foot distance""","""Considering the price the hotel was a little bit old, the washroom was comparably small and looked old fashioned.""",10,Couple
2,"""Nice location and breakfast. Good staff and facilities including a nice summer beer garden cafe and excellent spa and gym.""","""Rooms and decor is a bit outdated.""",8,Business-taveler
2,"""Location and guest relations Bota. Bota was exceptional and went out of her way to service every requirement""","""The hotel 5 star with no in house driver with a luxury car . Each time calling taxi does not sit well with a 5 star hotel . Breakfast and food offering was poor .""",6,Family
2,"""Location""","""The snooty and arrogant stuff, the outdated air refreshments and VERY far from international standards. Hotel generally to be renovated in total. It absolutely does not deserve the price paid.""",3,Single
11,"""Comfort and good location""","""The street light shining through the curtain slits.""",9,Couple
11,"""Breakfast was really great - buffet with great selection. Room had a lovely view. Room was clean. Staff were so helpful. All good really.""","""One major issue - not the hotels fault but it was quite an issue. Nearby there are weddings that make noise late into the evening. Also a concert venue. """,9,Couple
11,"""View of mountains from renovated room, helpful front desk staff, two of three adjacent restaurants good, great location.""","""Food at rooftop restaurant a disappointment and staff have an attitude.""",9,Single
11,"""The staff is friendly and helpful""","""The first two nights the room was old and I didn't like it, and there was noise coming from the ground floor knowing that I'm on the 20th floor""",6,Family
11,""" I liked that the hotel is in a very central location, making it easy to get around the city. Most tourist spots were within walking distance, and public transportation was very accessible."" ","""The staff were unhelpful and difficult to communicate with, often ignoring guests’ concerns. Breakfast was poorly managed, with no tables or spoons available on several mornings, making it stressful instead of enjoyable.""",5,Family
11,"""Bed and linen""","""Very small bathroom, very inconvenient tab, no place to put towels. Antisanitary in breakfast area, where a Turkish staff placed coffee cups for use by guests holding all of them from inside with his dirty hands.""",3,Couple
11,"""Excellent location!""","""The building requires renovation, staff requires training and better managers, breakfast did not look fresh. In general I was quite disappointed as this hotel is a historic spot in Almaty and could be better managed.""",4,Family
183,'Huge rooms and comfy beds'',"'My room didn't have a kettle or microwave , which I think should be standard in all hotels, especially such big and nice ones.''",9,Family
183,"'Excellent hotel in a prime central location. The rooms are spacious, the Wi-Fi is reliable, the beds are comfortable, and the breakfast is satisfying. We would be happy to stay here again.''",'The shower gel and shampoo were of noticeably low quality.'',9,Couple
183,'The room big and beautiful.'','The restaurant and the bar close on us really early even so there is nothing to do in the city. Was sad but we manage. The shower was broken'',6,Couple
183,"'I've stayed at this hotel several times, and the room was perfectly fine—more or less clean linens and towels, a robe, and air conditioning. I was especially pleased with the ample bottled water—no need to look for a store nearby!''","'The spa wasn't working, and there was no notice anywhere, but I really wanted to relax after the flight! The restaurant was under renovation, so we had breakfast in another room. I ordered a liver salad for dinner, but they mixed it up and brought me a beet salad. The toilet was a bit dirty (there was a noticeable film on it), and the shower stall was tiny. I'd stayed in another room before, and it had a spacious shower.''",9,Single
183,"'The hotel's location, friendly staff, large spacious deluxe room, fast internet, restaurant.''","'Monotonous breakfasts, little choice, coffee is not included in the price of breakfast.''",9,Single
183,"'Excellent rooms, polite staff, excellent restaurant.''",'It was a little stuffy'',9,Single
183,"'I've stayed at this hotel several times, and the room was perfectly fine—more or less clean linens and towels, a robe, and air conditioning. I was especially pleased with the ample bottled water—no need to look for a store nearby!''","'The spa wasn't working, and there was no notice anywhere, but I really wanted to relax after the flight! The restaurant was under renovation, so we had breakfast in another room. I ordered a liver salad for dinner, but they mixed it up and brought me a beet salad. The toilet was a bit dirty (there was a noticeable film on it), and the shower stall was tiny. I'd stayed in another room before, and it had a spacious shower.''",8,Single
157,"""The room was very comfy and clean. The staff was very friendly and helpful. The spa area was also awesome""","""The spa shower had a bit of mold and its shower curtain was a bit short.The rest of the spa area was quite clean.""",9,Single
157,"""Room linens and toiletries were being changed and refilled everyday. Staff were very courteous.""","""The airconditioning didnt work on the first use.""",9,Business-traveler
157,"""The breakfast was good but when bust it is worth going back to your room and waiting. Good location close to the metro""","""It is great if you are going to the stadium but equally it is very noisy when there is an event on if you are just staying there for a vacation.""",7,Single
157,"""Good location just across the Bus Station from were the tours departing nice room""","""Needs little renovation as the hotel is from Soviet Union times""",8,Single
157,"""Decent room and well located hotel""","""The hotel only in the name is “international”. In reality it is suitable only for Russian speaking guest. Reception can hardly speak any English. """,6,Single
157,"""Good sized rooms, location was good for what I needed to achieve during my stay - close to metro and shopping.""","""Property was a little 'tired', a small investment to have a continuous maintenance program would improve the physical property - or at least keep it looking fresh - and more attractive.""",6,Single
157,"""The hotel is very old and facilities were not remodeled for a long time""","""The wi fi only works on the 1st floor, impossible to get network in the room""",4,Single
153,"""Good location""","""Poor breakfast, uncomfortable bed, old furniture, dirty pillows and blanket""",10,Single
153,"""Nice, quiet place. Spacious rooms with everything you need. It is convenient to get to the airport, Mega, etc.""","""The TV shows poorly. A slow elevator. Breakfasts for this level could be better made, but they are not bad.""",9,Business-traveler
153,"""Excellent location, the bed does not creak. The room is spacious. Beautiful view from the window.""","""The refrigerator is not working, they called the master and did not fix anything. The room is poorly cleaned, the tables have never been wiped, the glasses are not washed.""",8,Family
153,"""The hotel was near to the city with great restaurant and shops nearby. It has a nice view of mountains.""","""The room doesn’t have a kettle and coffee or tea powder. The breakfast was very little and no varieties. The room was ok. Only one lift was working . """,5,Family
153,"""big room;""","""terrible breakfast; terrible wifi.""",5,Business-traveler
153,"""tho location is just at the downtown.""","""the hotel rooms looked generally not bad, but feels like the cleaning there is not thorough. """,6,Single
153,"""Good location and room size.""","""Staff is rude and not responsive, the washroom tap was not working and AC was not proper. They need to have a better service""",4,Family
152,"""Modern interior, everything is clean and nice""","""Breakfast was ok but nobody offered me to make eggs""",9,Single
152,"""Unique room, like two level apartment, clean, simple with touch of culture. Very good breakfest. Next to park, nice location for walking around.""","""Everything was fine""",10,Single
152,"""Comfort , good location and reception staff.""","""Room size is too small for two people.""",9,Business-traveler
152,"""Location""","""The kitchen is just awful! I have never seen such stale breakfasts in any hotel.""",4,Family
152,"""Polite reception.""","""The hotel has problems with cleanliness. The upholstered furniture is stained, including the chairs in the restaurant downstairs. The smell of carpet in the hallway.""",4,Couple
152,"""I liked the location. The breakfast itself is good. The reception is friendly.""","""Dirty towels were found upon arrival, and they were immediately replaced. It is necessary to raise the level of cleaning, they seem to be cleaning, but there are flaws everywhere, especially in the kitchen""",5,Family
152,"""The location of the hotel is good, there is a gym""","""Dirty rooms, poorly cleaned, the mirror was dirty in the room upon arrival, so no one washed it during our entire stay. The staff is not responsive, you need to ask for everything at least twice.""",5,Couple
184,"""I liked that the reception was open 24 hours, the linens and towels were clean, the plumbing was in good working order, and the beds were comfortable.""","""The smell of tobacco""",8,Single
184,"""Excellent food. The location is convenient for driving. The bed is very comfortable.""","""Electrical outlets far from the table. Uneven shower floor. No elevator.""",8,Single
184,"""'I liked the hotel itself. I love it very much. The rooms are pleasant. The decor is beautiful. The rooms are clean and the robes and towels are crisp white. The food is delicious – meat dishes, fish, fruit.''""","""'This time, I wasn't happy with the attitude of the administrator, Valeria. She's constantly disgruntled. She's demanding illegal payment for rooms she didn't even stay in. There are also problems with canceling reservations.''","7,6",Single
184,'The number matched the photo.'',"""'The drain in the shower was clogged and there was a missing shelf in the bathroom.''""","7,8",Single
184,"""Cleanliness, crisp white linens, a single double bed (not split), friendly staff, decent Wi-Fi (she taught an online lesson), and a fridge and kettle in the room.""","""Noisy neighbors""",8,Single
184,"""Clean room, friendly staff.
Wi-Fi worked well.
Heated floors in the bathroom.""","""There is no elevator, it’s time to change the plumbing, poor water pressure.""",8,Single
184,"""location, parking""","""cleaning was not done during the day""",9,Single
185,"""Clean, breakfast""","""Rooms definitely need blackout curtains""",10,Single
185,"""overall very good.
clean comfy bed.
quite rooms (or I was lucky).
clean and adequate bathroom.""","""the carpet looked like it needs a better vacuuming…""",9,Business-traveler
185,"""Location""","""Beds, no fresh air as there are no mosquito nets on the windows, shower""",6,Couple
185,"""spacious room, clean, quite...ish""","""I ended up in room with a smell of sweat... this ruined my stay.""",7,Single
185,"""Wonderful rooms, friendly staff. Thank you for the cozy crib for the baby.""","""Breakfast wasn't very varied. Cold food.
The toilet seat wasn't properly secured.""",8,Family
185,"""I liked the location, the rooms are cozy, there is a bar, and the breakfast was quite normal.""","""There was no extra bed or cot for a child, even though the number of children was listed. There was no shower head, only a rain shower.""",9,Family
185,"""The staff is excellent, everyone is welcoming and friendly. Very positive. The room was clean and the view from the windows was impressive.""","""The breakfast is very meager, there's no variety. The coffee beans aren't very tasty.""",7,Single
186,"""Very kind and fast personal. Quiet side street. Close to downtown.""","""Room without daylight and fresh air. Had to chose between room without window or window into indoor hall. The latter was due to restaurant guests noisy. Maybe bigger rooms have are nicer.""",7,Single
186,"""Hotel design""","""Breakfast menu & service""",9,Couple
186,"""The size of the room, the interiors in the lobby and throughout the hotel.""","""The plumbing fixtures in the bathroom are very worn, and the shower stall is falling apart. The lighting in the bathroom is very dim.""",8,Couple
186,"""The hotel itself is beautiful inside, with a beautiful spa.
The chef does a great job at breakfast and will make you more if you ask.""","""The furniture is a bit old, the hotel is located in the courtyards, there is a construction site nearby, breakfast: the buffet is very poor, there is nothing to go with tea, but the cook tries very hard if you ask him to prepare extra fried eggs or pancakes""",9,Family
186,"""Nice room, large bed, full hotel amenities.
Large TV, kettle and tea in the room.
Convenient keycard lock, decent breakfast.""","""The toilet isn't secured to the floor, making it a bit scary to use. The rooms have fairly thin walls, and the floors in the hallway creak for some reason.
The hotel's exterior resembles a warehouse, though the interior is quite luxurious. There are no exterior photos on Booking.com.""",8,Couple
186,"""I liked the location. The hotel is in the city center, and the shopping center, park, and square are all nearby.""","""The rooms are terrible. The shower stall isn't watertight, leaving a lot of water on the floor after a shower. Water stagnates in the sink. The air conditioner makes strange noises. Other strange noises periodically appear from nowhere. The windows overlook the hotel's central foyer, which lets all the sound from there into the room. The staff is unresponsive at breakfast. There's no desk in the room. The hotel's amenities aren't updated, so you have to call to request anything that needs to be updated in the room.""",7,Single
186,"""Good location. In the center. Helpful and polite staff.""","""The renovations weren't recent. The carpet in my room on the third floor wasn't very clean. The floors on the third floor squeak quite loudly both in the hallway and in my room. The soundproofing is poor: a drunk couple spent half the night squabbling in the room next door, and it felt like they were in my room. The plumbing needs repair: the toilet button has stuck several times and, as a result, no water has filled.""",8,Business-traveler
187,"""It’s refurbished, everything is new, quite spacious""","""They don’t have a table and chair to work on and breakfasts""",9,Single
